캠페인ID,고객ID,발송일,오픈여부,클릭여부,전환여부,전환금액
CAM007,CU00611,2023-05-25,Y,N,N,
CAM006,CU00005,2023-07-29,Y,N,N,
CAM009,CU00153,2023-11-22,N,N,N,
CAM003,CU00272,2023-09-18,N,N,N,
CAM005,CU00617,2024-03-23,Y,N,N,
CAM001,CU00149,2023-06-12,N,N,N,
CAM008,CU00422,2023-10-23,N,N,N,
CAM003,CU00603,2023-10-03,N,N,N,
CAM009,CU00078,2023-11-20,Y,N,N,
CAM002,CU00324,2023-03-16,Y,N,N,
CAM006,CU00703,2023-08-11,N,N,N,
CAM007,CU00280,2023-05-19,N,N,N,
CAM004,CU00303,2023-12-07,N,N,N,
CAM007,CU00792,2023-05-03,Y,N,N,
CAM010,CU00709,2023-12-21,N,N,N,
CAM008,CU00243,2023-10-13,N,N,N,
CAM004,CU00150,2023-12-15,N,N,N,
CAM010,CU00350,2023-12-26,N,N,N,
CAM004,CU00223,2023-12-11,Y,Y,N,
CAM007,CU00725,2023-05-30,N,N,N,
CAM009,CU00050,2023-11-23,N,N,N,
CAM004,CU00187,2023-12-25,N,N,N,
CAM007,CU00396,2023-05-11,N,N,N,
CAM004,CU00616,2023-12-12,N,N,N,
CAM003,CU00583,2023-10-02,N,N,N,
CAM010,CU00204,2023-12-25,N,N,N,
CAM005,CU00565,2024-03-02,Y,Y,N,
CAM007,CU00637,2023-05-17,Y,Y,N,
CAM009,CU00451,2023-11-24,N,N,N,
CAM005,CU00042,2024-03-10,N,N,N,
CAM008,CU00582,2023-10-08,Y,N,N,
CAM005,CU00208,2024-03-29,N,N,N,
CAM010,CU00429,2024-01-02,N,N,N,
CAM010,CU00315,2024-01-01,N,N,N,
CAM007,CU00567,2023-05-12,Y,N,N,
CAM007,CU00790,2023-05-23,Y,N,N,
CAM007,CU00575,2023-05-24,Y,N,N,
CAM005,CU00167,2024-03-29,Y,N,N,
CAM004,CU00151,2023-12-19,Y,N,N,
CAM007,CU00335,2023-05-12,N,N,N,
CAM009,CU00277,2023-11-29,N,N,N,
CAM007,CU00198,2023-05-08,N,N,N,
CAM010,CU00516,2023-12-22,Y,N,N,
CAM003,CU00153,2023-09-30,Y,N,N,
CAM003,CU00117,2023-09-27,Y,N,N,
CAM004,CU00632,2023-12-04,N,N,N,
CAM003,CU00121,2023-10-01,N,N,N,
CAM008,CU00688,2023-10-28,N,N,N,
CAM010,CU00305,2024-01-01,N,N,N,
CAM003,CU00242,2023-09-25,N,N,N,
CAM008,CU00446,2023-10-13,Y,Y,N,
CAM010,CU00796,2023-12-21,Y,N,N,
CAM001,CU00646,2023-06-24,Y,Y,Y,35900.0
CAM007,CU00445,2023-05-19,Y,N,N,
CAM001,CU00583,2023-06-17,N,N,N,
CAM005,CU00513,2024-03-16,N,N,N,
CAM010,CU00192,2023-12-29,N,N,N,
CAM010,CU00263,2023-12-20,Y,N,N,
CAM004,CU00733,2023-12-15,Y,Y,N,
CAM002,CU00319,2023-03-04,N,N,N,
CAM006,CU00444,2023-08-05,Y,Y,N,
CAM009,CU00215,2023-11-23,N,N,N,
CAM003,CU00610,2023-09-29,N,N,N,
CAM009,CU00565,2023-11-20,N,N,N,
CAM007,CU00447,2023-05-04,Y,N,N,
CAM007,CU00116,2023-05-06,N,N,N,
CAM009,CU00301,2023-11-20,N,N,N,
CAM002,CU00780,2023-03-15,Y,N,N,
CAM007,CU00676,2023-05-11,N,N,N,
CAM005,CU00411,2024-03-02,N,N,N,
CAM009,CU00228,2023-11-27,N,N,N,
CAM003,CU00620,2023-09-15,Y,N,N,
CAM003,CU00407,2023-09-15,Y,N,N,
CAM001,CU00066,2023-06-03,Y,N,N,
CAM007,CU00797,2023-05-10,Y,Y,N,
CAM007,CU00614,2023-05-03,Y,Y,N,
CAM007,CU00718,2023-05-17,N,N,N,
CAM007,CU00282,2023-05-05,N,N,N,
CAM010,CU00776,2024-01-03,N,N,N,
CAM004,CU00549,2023-12-14,Y,Y,N,
CAM010,CU00226,2023-12-24,N,N,N,
CAM001,CU00155,2023-06-18,Y,N,N,
CAM007,CU00417,2023-05-14,N,N,N,
CAM002,CU00334,2023-03-03,N,N,N,
CAM004,CU00488,2023-12-08,N,N,N,
CAM009,CU00504,2023-11-29,N,N,N,
CAM007,CU00583,2023-05-25,Y,N,N,
CAM002,CU00207,2023-03-06,Y,N,N,
CAM004,CU00608,2023-12-16,N,N,N,
CAM005,CU00043,2024-03-18,Y,N,N,
CAM007,CU00066,2023-05-21,N,N,N,
CAM010,CU00574,2024-01-01,Y,Y,N,
CAM005,CU00177,2024-03-08,Y,Y,N,
CAM003,CU00415,2023-09-16,N,N,N,
CAM001,CU00410,2023-06-26,Y,N,N,
CAM004,CU00334,2023-12-07,Y,N,N,
CAM002,CU00664,2023-03-06,Y,N,N,
CAM002,CU00523,2023-03-03,Y,N,N,
CAM002,CU00075,2023-03-16,Y,Y,N,
CAM001,CU00599,2023-06-10,N,N,N,
CAM009,CU00732,2023-11-21,Y,Y,N,
CAM003,CU00684,2023-09-30,Y,N,N,
CAM009,CU00064,2023-11-21,N,N,N,
CAM004,CU00360,2023-12-19,N,N,N,
CAM001,CU00401,2023-06-24,Y,Y,N,
CAM007,CU00597,2023-05-03,N,N,N,
CAM003,CU00064,2023-09-24,N,N,N,
CAM007,CU00669,2023-05-05,N,N,N,
CAM006,CU00786,2023-08-08,N,N,N,
CAM006,CU00154,2023-08-08,Y,N,N,
CAM009,CU00505,2023-11-28,N,N,N,
CAM002,CU00071,2023-03-02,Y,N,N,
CAM010,CU00189,2023-12-31,Y,Y,Y,17400.0
CAM009,CU00313,2023-11-22,N,N,N,
CAM004,CU00287,2023-12-30,Y,N,N,
CAM007,CU00243,2023-05-13,N,N,N,
CAM007,CU00774,2023-05-27,N,N,N,
CAM009,CU00331,2023-11-21,Y,Y,N,
CAM002,CU00591,2023-03-22,N,N,N,
CAM001,CU00114,2023-06-03,N,N,N,
CAM003,CU00487,2023-10-01,Y,N,N,
CAM004,CU00540,2023-12-11,Y,Y,N,
CAM009,CU00553,2023-11-21,N,N,N,
CAM003,CU00094,2023-09-24,N,N,N,
CAM009,CU00409,2023-11-25,Y,N,N,
CAM001,CU00679,2023-06-27,N,N,N,
CAM010,CU00601,2023-12-25,Y,N,N,
CAM004,CU00143,2023-12-09,N,N,N,
CAM005,CU00611,2024-03-27,N,N,N,
CAM002,CU00475,2023-03-16,N,N,N,
CAM002,CU00463,2023-03-12,N,N,N,
CAM007,CU00292,2023-05-12,Y,Y,N,
CAM002,CU00516,2023-03-03,Y,N,N,
CAM003,CU00439,2023-09-25,Y,N,N,
CAM001,CU00228,2023-06-09,N,N,N,
CAM001,CU00606,2023-06-09,Y,N,N,
CAM009,CU00461,2023-11-28,N,N,N,
CAM008,CU00354,2023-10-09,N,N,N,
CAM004,CU00504,2023-12-22,N,N,N,
CAM010,CU00572,2023-12-25,N,N,N,
CAM004,CU00386,2023-12-13,N,N,N,
CAM003,CU00131,2023-09-15,N,N,N,
CAM002,CU00099,2023-03-26,N,N,N,
CAM009,CU00509,2023-11-28,N,N,N,
CAM005,CU00637,2024-03-19,Y,N,N,
CAM004,CU00246,2023-12-21,Y,Y,N,
CAM009,CU00001,2023-11-28,N,N,N,
CAM009,CU00262,2023-11-29,N,N,N,
CAM008,CU00509,2023-10-02,N,N,N,
CAM005,CU00130,2024-03-02,N,N,N,
CAM010,CU00524,2024-01-02,N,N,N,
CAM004,CU00109,2023-12-02,N,N,N,
CAM005,CU00204,2024-03-20,N,N,N,
CAM004,CU00142,2023-12-22,Y,Y,N,
CAM010,CU00713,2024-01-04,N,N,N,
CAM004,CU00589,2023-12-19,Y,N,N,
CAM003,CU00556,2023-09-21,Y,N,N,
CAM010,CU00085,2023-12-24,Y,N,N,
CAM010,CU00271,2023-12-21,Y,N,N,
CAM007,CU00175,2023-05-12,N,N,N,
CAM007,CU00045,2023-05-14,Y,N,N,
CAM007,CU00638,2023-05-26,Y,N,N,
CAM001,CU00067,2023-06-09,N,N,N,
CAM003,CU00255,2023-09-26,N,N,N,
CAM008,CU00722,2023-10-23,Y,Y,N,
CAM002,CU00200,2023-03-14,N,N,N,
CAM005,CU00771,2024-03-17,N,N,N,
CAM002,CU00220,2023-03-16,Y,N,N,
CAM002,CU00302,2023-03-30,Y,Y,N,
CAM010,CU00721,2023-12-23,Y,Y,Y,45400.0
CAM005,CU00499,2024-03-22,N,N,N,
CAM007,CU00470,2023-05-29,Y,N,N,
CAM008,CU00655,2023-10-20,Y,N,N,
CAM004,CU00454,2023-12-30,Y,N,N,
CAM006,CU00025,2023-08-01,N,N,N,
CAM001,CU00486,2023-06-22,Y,N,N,
CAM005,CU00545,2024-03-01,N,N,N,
CAM002,CU00580,2023-03-04,N,N,N,
CAM002,CU00661,2023-03-29,N,N,N,
CAM007,CU00283,2023-05-16,N,N,N,
CAM009,CU00312,2023-11-29,Y,Y,N,
CAM002,CU00013,2023-03-19,N,N,N,
CAM007,CU00565,2023-05-17,Y,Y,N,
CAM005,CU00354,2024-03-28,N,N,N,
CAM010,CU00076,2023-12-28,Y,N,N,
CAM007,CU00300,2023-05-27,N,N,N,
CAM002,CU00347,2023-03-24,N,N,N,
CAM005,CU00396,2024-03-28,Y,N,N,
CAM009,CU00026,2023-11-20,Y,N,N,
CAM010,CU00748,2023-12-23,Y,N,N,
CAM010,CU00163,2023-12-23,N,N,N,
CAM009,CU00416,2023-11-21,Y,N,N,
CAM005,CU00051,2024-03-12,Y,N,N,
CAM008,CU00134,2023-10-02,Y,N,N,
CAM001,CU00523,2023-06-18,Y,N,N,
CAM010,CU00518,2023-12-30,N,N,N,
CAM003,CU00382,2023-09-30,N,N,N,
CAM003,CU00221,2023-09-23,Y,Y,N,
CAM002,CU00709,2023-03-27,Y,N,N,
CAM005,CU00003,2024-03-05,Y,Y,N,
CAM002,CU00407,2023-03-04,Y,N,N,
CAM005,CU00219,2024-03-14,Y,Y,N,
CAM007,CU00287,2023-05-20,N,N,N,
CAM009,CU00594,2023-11-25,N,N,N,
CAM005,CU00367,2024-03-17,N,N,N,
CAM002,CU00740,2023-03-06,Y,N,N,
CAM009,CU00785,2023-11-21,Y,N,N,
CAM008,CU00234,2023-10-25,N,N,N,
CAM009,CU00411,2023-11-21,N,N,N,
CAM009,CU00743,2023-11-24,Y,N,N,
CAM002,CU00412,2023-03-01,N,N,N,
CAM004,CU00025,2023-12-21,Y,N,N,
CAM007,CU00729,2023-05-25,N,N,N,
CAM009,CU00472,2023-11-29,N,N,N,
CAM009,CU00402,2023-11-21,Y,Y,N,
CAM002,CU00126,2023-03-20,Y,Y,N,
CAM004,CU00236,2023-12-12,N,N,N,
CAM009,CU00707,2023-11-29,N,N,N,
CAM002,CU00455,2023-03-12,N,N,N,
CAM004,CU00336,2023-12-20,N,N,N,
CAM002,CU00493,2023-03-27,N,N,N,
CAM007,CU00010,2023-05-25,N,N,N,
CAM001,CU00498,2023-06-11,N,N,N,
CAM007,CU00771,2023-05-18,N,N,N,
CAM007,CU00516,2023-05-17,Y,N,N,
CAM005,CU00606,2024-03-04,N,N,N,
CAM002,CU00057,2023-03-13,N,N,N,
CAM009,CU00757,2023-11-22,Y,Y,N,
CAM004,CU00174,2023-12-15,Y,Y,N,
CAM007,CU00459,2023-05-12,N,N,N,
CAM003,CU00024,2023-09-23,N,N,N,
CAM005,CU00493,2024-03-12,N,N,N,
CAM004,CU00510,2023-12-06,N,N,N,
CAM001,CU00610,2023-06-21,Y,N,N,
CAM005,CU00768,2024-03-02,Y,N,N,
CAM008,CU00498,2023-10-20,N,N,N,
CAM006,CU00591,2023-07-21,Y,Y,Y,13700.0
CAM004,CU00688,2023-12-01,N,N,N,
CAM004,CU00219,2023-12-14,N,N,N,
CAM003,CU00408,2023-09-30,N,N,N,
CAM006,CU00739,2023-07-18,N,N,N,
CAM001,CU00151,2023-06-25,Y,N,N,
CAM003,CU00717,2023-09-18,Y,Y,N,
CAM001,CU00020,2023-06-22,N,N,N,
CAM005,CU00300,2024-03-09,Y,N,N,
CAM008,CU00075,2023-10-04,N,N,N,
CAM003,CU00687,2023-09-23,Y,N,N,
CAM007,CU00236,2023-05-28,Y,N,N,
CAM005,CU00163,2024-03-30,N,N,N,
CAM005,CU00023,2024-03-10,N,N,N,
CAM005,CU00627,2024-03-15,Y,N,N,
CAM001,CU00581,2023-06-24,N,N,N,
CAM004,CU00506,2023-12-15,Y,N,N,
CAM006,CU00538,2023-07-23,Y,N,N,
CAM007,CU00173,2023-05-21,N,N,N,
CAM007,CU00484,2023-05-18,Y,N,N,
CAM007,CU00309,2023-05-08,N,N,N,
CAM010,CU00166,2023-12-29,N,N,N,
CAM005,CU00772,2024-03-26,Y,N,N,
CAM007,CU00318,2023-05-26,N,N,N,
CAM010,CU00680,2023-12-26,Y,Y,N,
CAM003,CU00702,2023-09-20,Y,N,N,
CAM009,CU00716,2023-11-29,N,N,N,
CAM001,CU00741,2023-06-23,Y,Y,N,
CAM001,CU00518,2023-06-13,N,N,N,
CAM008,CU00733,2023-10-14,N,N,N,
CAM005,CU00172,2024-03-15,N,N,N,
CAM009,CU00146,2023-11-29,Y,Y,N,
CAM005,CU00272,2024-03-30,N,N,N,
CAM005,CU00314,2024-03-26,N,N,N,
CAM010,CU00540,2023-12-21,Y,N,N,
CAM010,CU00274,2023-12-30,Y,Y,N,
CAM006,CU00070,2023-07-16,N,N,N,
CAM008,CU00264,2023-10-05,Y,N,N,
CAM008,CU00110,2023-10-09,N,N,N,
CAM004,CU00489,2023-12-21,Y,Y,N,
CAM009,CU00654,2023-11-21,Y,N,N,
CAM007,CU00502,2023-05-07,N,N,N,
CAM009,CU00783,2023-11-20,N,N,N,
CAM010,CU00423,2023-12-21,Y,N,N,
CAM007,CU00330,2023-05-06,Y,Y,N,
CAM007,CU00580,2023-05-13,Y,N,N,
CAM009,CU00176,2023-11-22,Y,N,N,
CAM003,CU00174,2023-09-17,Y,N,N,
CAM002,CU00651,2023-03-06,Y,N,N,
CAM004,CU00662,2023-12-16,Y,N,N,
CAM005,CU00192,2024-03-08,Y,Y,N,
CAM009,CU00292,2023-11-29,N,N,N,
CAM010,CU00357,2023-12-27,N,N,N,
CAM004,CU00676,2023-12-15,N,N,N,
CAM007,CU00379,2023-05-24,Y,N,N,
CAM010,CU00731,2024-01-04,N,N,N,
CAM001,CU00550,2023-06-11,Y,N,N,
CAM003,CU00672,2023-10-01,N,N,N,
CAM010,CU00396,2023-12-23,Y,N,N,
CAM003,CU00299,2023-09-16,N,N,N,
CAM009,CU00341,2023-11-21,N,N,N,
CAM009,CU00206,2023-11-22,N,N,N,
CAM002,CU00145,2023-03-01,N,N,N,
CAM009,CU00104,2023-11-25,Y,N,N,
CAM009,CU00734,2023-11-26,Y,N,N,
CAM007,CU00424,2023-05-27,Y,N,N,
CAM004,CU00655,2023-12-07,N,N,N,
CAM002,CU00306,2023-03-11,Y,Y,N,
CAM002,CU00101,2023-03-26,N,N,N,
CAM005,CU00033,2024-03-25,Y,Y,N,
CAM003,CU00267,2023-09-19,Y,N,N,
CAM004,CU00584,2023-12-01,N,N,N,
CAM009,CU00247,2023-11-25,N,N,N,
CAM002,CU00574,2023-03-16,Y,N,N,
CAM004,CU00512,2023-12-12,N,N,N,
CAM002,CU00492,2023-03-11,Y,N,N,
CAM007,CU00529,2023-05-23,N,N,N,
CAM007,CU00303,2023-05-02,N,N,N,
CAM002,CU00224,2023-03-12,N,N,N,
CAM001,CU00360,2023-06-02,Y,N,N,
CAM007,CU00770,2023-05-24,N,N,N,
CAM006,CU00389,2023-07-30,N,N,N,
CAM005,CU00788,2024-03-30,Y,N,N,
CAM003,CU00679,2023-09-25,Y,Y,N,
CAM004,CU00659,2023-12-15,Y,N,N,
CAM004,CU00122,2023-12-18,Y,N,N,
CAM001,CU00786,2023-06-20,Y,N,N,
CAM009,CU00570,2023-11-24,Y,N,N,
CAM004,CU00724,2023-12-25,Y,Y,Y,13100.0
CAM010,CU00420,2023-12-21,Y,N,N,
CAM008,CU00198,2023-10-21,N,N,N,
CAM009,CU00299,2023-11-21,Y,N,N,
CAM003,CU00304,2023-09-26,N,N,N,
CAM007,CU00294,2023-05-18,N,N,N,
CAM010,CU00476,2024-01-04,Y,N,N,
CAM009,CU00011,2023-11-25,Y,N,N,
CAM005,CU00249,2024-03-15,Y,N,N,
CAM004,CU00295,2023-12-10,N,N,N,
CAM007,CU00368,2023-05-07,Y,N,N,
CAM009,CU00550,2023-11-27,Y,Y,N,
CAM009,CU00591,2023-11-26,N,N,N,
CAM003,CU00499,2023-09-23,N,N,N,
CAM002,CU00498,2023-03-15,N,N,N,
CAM008,CU00182,2023-10-22,N,N,N,
CAM010,CU00499,2023-12-22,N,N,N,
CAM008,CU00226,2023-10-12,N,N,N,
CAM002,CU00059,2023-03-24,N,N,N,
CAM010,CU00619,2023-12-25,Y,Y,Y,49200.0
CAM005,CU00274,2024-03-20,N,N,N,
CAM009,CU00369,2023-11-28,Y,Y,N,
CAM003,CU00665,2023-10-04,Y,N,N,
CAM008,CU00578,2023-10-16,Y,Y,N,
CAM010,CU00273,2024-01-04,N,N,N,
CAM002,CU00001,2023-03-10,Y,N,N,
CAM009,CU00374,2023-11-24,N,N,N,
CAM005,CU00738,2024-03-18,N,N,N,
CAM010,CU00781,2024-01-01,N,N,N,
CAM007,CU00161,2023-05-15,Y,N,N,
CAM010,CU00155,2023-12-20,N,N,N,
CAM010,CU00438,2024-01-03,N,N,N,
CAM009,CU00275,2023-11-28,Y,Y,N,
CAM009,CU00071,2023-11-21,N,N,N,
CAM003,CU00598,2023-10-03,Y,Y,Y,44000.0
CAM002,CU00177,2023-03-30,N,N,N,
CAM001,CU00374,2023-06-16,N,N,N,
CAM010,CU00556,2023-12-25,Y,N,N,
CAM009,CU00111,2023-11-29,N,N,N,
CAM004,CU00285,2023-12-20,N,N,N,
CAM003,CU00729,2023-09-28,N,N,N,
CAM007,CU00430,2023-05-13,Y,N,N,
CAM005,CU00230,2024-03-26,N,N,N,
CAM007,CU00526,2023-05-24,N,N,N,
CAM005,CU00708,2024-03-24,N,N,N,
CAM006,CU00599,2023-08-02,Y,N,N,
CAM007,CU00127,2023-05-05,N,N,N,
CAM007,CU00660,2023-05-25,N,N,N,
CAM003,CU00096,2023-09-19,Y,N,N,
CAM008,CU00794,2023-10-23,N,N,N,
CAM009,CU00540,2023-11-26,N,N,N,
CAM003,CU00233,2023-09-21,N,N,N,
CAM004,CU00573,2023-12-25,Y,N,N,
CAM005,CU00333,2024-03-16,Y,N,N,
CAM001,CU00204,2023-06-21,Y,N,N,
CAM004,CU00535,2023-12-07,N,N,N,
CAM005,CU00455,2024-03-11,N,N,N,
CAM003,CU00185,2023-09-19,N,N,N,
CAM007,CU00260,2023-05-08,N,N,N,
CAM007,CU00178,2023-05-28,N,N,N,
CAM001,CU00544,2023-06-22,N,N,N,
CAM007,CU00242,2023-05-12,N,N,N,
CAM010,CU00023,2023-12-22,N,N,N,
CAM001,CU00641,2023-06-02,N,N,N,
CAM010,CU00386,2023-12-24,N,N,N,
CAM007,CU00431,2023-05-27,N,N,N,
CAM010,CU00167,2023-12-25,N,N,N,
CAM005,CU00019,2024-03-03,Y,Y,Y,36700.0
CAM003,CU00361,2023-10-03,N,N,N,
CAM007,CU00641,2023-05-01,Y,N,N,
CAM010,CU00048,2023-12-22,Y,N,N,
CAM008,CU00194,2023-10-16,Y,Y,N,
CAM008,CU00263,2023-10-10,N,N,N,
CAM005,CU00696,2024-03-07,N,N,N,
CAM005,CU00404,2024-03-23,N,N,N,
CAM007,CU00406,2023-05-15,N,N,N,
CAM010,CU00170,2023-12-20,N,N,N,
CAM003,CU00744,2023-09-26,Y,N,N,
CAM010,CU00387,2023-12-23,N,N,N,
CAM010,CU00452,2023-12-20,N,N,N,
CAM005,CU00251,2024-03-10,N,N,N,
CAM004,CU00588,2023-12-14,Y,N,N,
CAM004,CU00448,2023-12-26,N,N,N,
CAM002,CU00368,2023-03-20,Y,N,N,
CAM002,CU00791,2023-03-02,N,N,N,
CAM001,CU00417,2023-06-01,N,N,N,
CAM005,CU00151,2024-03-02,N,N,N,
CAM007,CU00634,2023-05-29,N,N,N,
CAM005,CU00339,2024-03-07,Y,N,N,
CAM005,CU00546,2024-03-13,N,N,N,
CAM001,CU00052,2023-06-03,N,N,N,
CAM003,CU00150,2023-09-24,Y,Y,N,
CAM004,CU00208,2023-12-14,Y,N,N,
CAM005,CU00595,2024-03-12,N,N,N,
CAM010,CU00757,2023-12-30,N,N,N,
CAM005,CU00316,2024-03-22,N,N,N,
CAM004,CU00517,2023-12-26,N,N,N,
CAM001,CU00596,2023-06-10,Y,Y,N,
CAM005,CU00182,2024-03-30,Y,N,N,
CAM008,CU00492,2023-10-28,N,N,N,
CAM010,CU00668,2023-12-21,Y,N,N,
CAM007,CU00345,2023-05-19,N,N,N,
CAM007,CU00007,2023-05-06,Y,N,N,
CAM003,CU00030,2023-10-04,N,N,N,
CAM009,CU00135,2023-11-27,Y,N,N,
CAM009,CU00479,2023-11-20,Y,N,N,
CAM008,CU00643,2023-10-15,Y,N,N,
CAM005,CU00490,2024-03-11,N,N,N,
CAM002,CU00437,2023-03-25,Y,Y,N,
CAM007,CU00364,2023-05-26,N,N,N,
CAM002,CU00005,2023-03-26,N,N,N,
CAM005,CU00453,2024-03-21,N,N,N,
CAM002,CU00373,2023-03-10,N,N,N,
CAM008,CU00520,2023-10-21,N,N,N,
CAM007,CU00630,2023-05-23,Y,Y,N,
CAM007,CU00217,2023-05-12,Y,N,N,
CAM006,CU00085,2023-08-01,Y,Y,N,
CAM002,CU00653,2023-03-03,Y,Y,N,
CAM009,CU00149,2023-11-25,Y,N,N,
CAM009,CU00445,2023-11-23,N,N,N,
CAM007,CU00382,2023-05-10,Y,N,N,
CAM009,CU00584,2023-11-24,Y,N,N,
CAM009,CU00719,2023-11-27,N,N,N,
CAM009,CU00181,2023-11-25,N,N,N,
CAM005,CU00351,2024-03-03,N,N,N,
CAM008,CU00068,2023-10-19,Y,Y,Y,34800.0
CAM007,CU00080,2023-05-17,N,N,N,
CAM008,CU00553,2023-10-07,N,N,N,
CAM005,CU00157,2024-03-20,N,N,N,
CAM004,CU00123,2023-12-13,N,N,N,
CAM010,CU00691,2023-12-23,N,N,N,
CAM006,CU00619,2023-07-30,Y,N,N,
CAM003,CU00217,2023-09-23,N,N,N,
CAM002,CU00163,2023-03-14,Y,Y,N,
CAM002,CU00604,2023-03-29,Y,N,N,
CAM009,CU00338,2023-11-24,Y,N,N,
CAM007,CU00662,2023-05-10,Y,N,N,
CAM005,CU00642,2024-03-28,Y,N,N,
CAM007,CU00453,2023-05-14,Y,N,N,
CAM003,CU00549,2023-09-18,Y,N,N,
CAM004,CU00239,2023-12-24,N,N,N,
CAM009,CU00595,2023-11-20,N,N,N,
CAM009,CU00383,2023-11-27,Y,N,N,
CAM003,CU00007,2023-09-18,Y,N,N,
CAM007,CU00181,2023-05-03,Y,N,N,
CAM002,CU00279,2023-03-27,Y,N,N,
CAM005,CU00119,2024-03-14,Y,N,N,
CAM002,CU00420,2023-03-28,Y,N,N,
CAM002,CU00485,2023-03-05,Y,N,N,
CAM006,CU00502,2023-07-19,N,N,N,
CAM005,CU00154,2024-03-05,N,N,N,
CAM007,CU00257,2023-05-10,Y,Y,N,
CAM006,CU00746,2023-07-20,Y,Y,N,
CAM006,CU00432,2023-08-13,N,N,N,
CAM007,CU00696,2023-05-28,N,N,N,
CAM009,CU00578,2023-11-20,N,N,N,
CAM008,CU00684,2023-10-21,Y,N,N,
CAM004,CU00272,2023-12-17,N,N,N,
CAM009,CU00320,2023-11-25,Y,Y,N,
CAM006,CU00258,2023-08-10,Y,N,N,
CAM001,CU00379,2023-06-13,Y,N,N,
CAM004,CU00171,2023-12-26,N,N,N,
CAM002,CU00621,2023-03-30,N,N,N,
CAM004,CU00414,2023-12-12,Y,N,N,
CAM002,CU00617,2023-03-07,Y,Y,N,
CAM009,CU00714,2023-11-27,N,N,N,
CAM006,CU00756,2023-08-13,Y,N,N,
CAM007,CU00408,2023-05-05,N,N,N,
CAM010,CU00136,2023-12-21,N,N,N,
CAM007,CU00372,2023-05-29,N,N,N,
CAM010,CU00083,2023-12-24,N,N,N,
CAM001,CU00541,2023-06-08,N,N,N,
CAM008,CU00741,2023-10-26,Y,N,N,
CAM006,CU00506,2023-07-15,Y,Y,N,
CAM008,CU00414,2023-10-06,N,N,N,
CAM010,CU00456,2024-01-04,Y,Y,N,
CAM004,CU00212,2023-12-30,Y,N,N,
CAM009,CU00204,2023-11-22,N,N,N,
CAM007,CU00380,2023-05-24,N,N,N,
CAM007,CU00692,2023-05-20,N,N,N,
CAM009,CU00774,2023-11-28,Y,N,N,
CAM010,CU00390,2024-01-01,N,N,N,
CAM005,CU00131,2024-03-28,N,N,N,
CAM006,CU00338,2023-07-28,N,N,N,
CAM009,CU00358,2023-11-22,N,N,N,
CAM002,CU00678,2023-03-05,Y,N,N,
CAM002,CU00375,2023-03-20,N,N,N,
CAM008,CU00769,2023-10-15,N,N,N,
CAM002,CU00415,2023-03-21,N,N,N,
CAM003,CU00635,2023-09-18,Y,Y,Y,27800.0
CAM004,CU00190,2023-12-22,Y,Y,N,
CAM002,CU00088,2023-03-29,Y,N,N,
CAM001,CU00061,2023-06-29,N,N,N,
CAM007,CU00635,2023-05-02,N,N,N,
CAM005,CU00375,2024-03-12,Y,N,N,
CAM005,CU00254,2024-03-12,Y,N,N,
CAM003,CU00219,2023-10-04,Y,N,N,
CAM002,CU00199,2023-03-23,N,N,N,
CAM005,CU00641,2024-03-26,N,N,N,
CAM001,CU00563,2023-06-19,N,N,N,
CAM002,CU00166,2023-03-19,N,N,N,
CAM005,CU00080,2024-03-09,N,N,N,
CAM005,CU00160,2024-03-04,N,N,N,
CAM008,CU00463,2023-10-20,N,N,N,
CAM005,CU00517,2024-03-25,Y,N,N,
CAM009,CU00308,2023-11-20,N,N,N,
CAM007,CU00740,2023-05-04,N,N,N,
CAM009,CU00482,2023-11-24,N,N,N,
CAM003,CU00003,2023-10-02,Y,N,N,
CAM006,CU00725,2023-07-18,Y,Y,N,
CAM009,CU00679,2023-11-25,Y,N,N,
CAM010,CU00573,2024-01-01,N,N,N,
CAM004,CU00061,2023-12-03,N,N,N,
CAM005,CU00679,2024-03-20,N,N,N,
CAM005,CU00562,2024-03-14,N,N,N,
CAM010,CU00033,2024-01-04,Y,N,N,
CAM006,CU00522,2023-07-29,N,N,N,
CAM010,CU00121,2024-01-02,N,N,N,
CAM009,CU00305,2023-11-27,N,N,N,
CAM010,CU00495,2024-01-01,N,N,N,
CAM002,CU00583,2023-03-29,Y,Y,Y,27300.0
CAM002,CU00190,2023-03-09,Y,N,N,
CAM003,CU00230,2023-09-28,Y,N,N,
CAM002,CU00266,2023-03-17,N,N,N,
CAM007,CU00057,2023-05-18,N,N,N,
CAM002,CU00706,2023-03-07,Y,N,N,
CAM004,CU00062,2023-12-01,Y,N,N,
CAM010,CU00648,2023-12-30,Y,Y,N,
CAM010,CU00427,2024-01-02,N,N,N,
CAM007,CU00454,2023-05-04,N,N,N,
CAM010,CU00422,2023-12-27,N,N,N,
CAM005,CU00267,2024-03-13,N,N,N,
CAM007,CU00478,2023-05-09,N,N,N,
CAM004,CU00231,2023-12-11,Y,Y,Y,28500.0
CAM009,CU00182,2023-11-22,N,N,N,
CAM002,CU00757,2023-03-30,N,N,N,
CAM002,CU00352,2023-03-23,N,N,N,
CAM002,CU00681,2023-03-08,Y,Y,N,
CAM004,CU00126,2023-12-23,N,N,N,
CAM008,CU00411,2023-10-01,N,N,N,
CAM002,CU00159,2023-03-19,Y,N,N,
