고객ID,연월,이용횟수,이용시간(분)
CU00218,2023-04,20.0,538.0
CU00218,2023-06,13.0,436.0
CU00218,2023-07,14.0,432.0
CU00218,2023-08,14.0,205.0
CU00218,2023-10,17.0,272.0
CU00218,2023-11,17.0,683.0
CU00218,2023-12,19.0,338.0
CU00219,2023-01,19.0,518.0
CU00219,2023-02,15.0,375.0
CU00219,2023-03,21.0,323.0
CU00219,2023-04,16.0,
CU00219,2023-05,18.0,235.0
CU00219,2023-06,16.0,340.0
CU00219,2023-07,11.0,171.0
CU00219,2023-08,12.0,244.0
CU00219,2023-10,15.0,280.0
CU00219,2023-11,10.0,174.0
CU00220,2023-01,18.0,229.0
CU00220,2023-02,21.0,544.0
CU00220,2023-03,12.0,418.0
CU00220,2023-04,12.0,464.0
CU00220,2023-05,25.0,420.0
CU00220,2023-06,11.0,172.0
CU00220,2023-07,19.0,284.0
CU00220,2023-08,22.0,853.0
CU00220,2023-09,9.0,113.0
CU00220,2023-10,16.0,535.0
CU00220,2023-11,14.0,341.0
CU00220,2023-12,19.0,301.0
CU00221,2023-02,18.0,684.0
CU00221,2023-03,13.0,476.0
CU00221,2023-04,21.0,508.0
CU00221,2023-05,13.0,418.0
CU00221,2023-06,14.0,223.0
CU00221,2023-07,15.0,390.0
CU00221,2023-08,18.0,389.0
CU00221,2023-09,20.0,589.0
CU00221,2023-10,16.0,217.0
CU00221,2023-11,12.0,235.0
CU00221,2023-12,19.0,738.0
CU00222,2023-12,16.0,207.0
CU00225,2023-01,9.0,328.0
CU00225,2023-02,16.0,597.0
CU00225,2023-03,15.0,508.0
CU00225,2023-04,17.0,459.0
CU00225,2023-05,12.0,412.0
CU00225,2023-06,22.0,303.0
CU00225,2023-08,18.0,360.0
CU00225,2023-09,16.0,284.0
CU00225,2023-10,9.0,172.0
CU00225,2023-11,10.0,274.0
CU00225,2023-12,7.0,98.0
CU00226,2023-07,13.0,168.0
CU00226,2023-08,14.0,549.0
CU00226,2023-09,19.0,466.0
CU00226,2023-10,19.0,427.0
CU00226,2023-11,16.0,577.0
CU00226,2023-12,17.0,312.0
CU00227,2023-01,13.0,304.0
CU00227,2023-02,17.0,488.0
CU00227,2023-03,11.0,146.0
CU00227,2023-04,13.0,403.0
CU00227,2023-05,16.0,554.0
CU00227,2023-06,24.0,481.0
CU00227,2023-07,24.0,810.0
CU00227,2023-08,20.0,615.0
CU00227,2023-09,16.0,256.0
CU00227,2023-10,14.0,552.0
CU00227,2023-11,12.0,383.0
CU00227,2023-12,16.0,225.0
CU00230,2023-01,18.0,409.0
CU00230,2023-02,17.0,495.0
CU00230,2023-03,14.0,259.0
CU00230,2023-04,14.0,486.0
CU00230,2023-05,17.0,209.0
CU00230,2023-07,9.0,132.0
CU00230,2023-08,12.0,317.0
CU00230,2023-09,15.0,349.0
CU00230,2023-10,18.0,335.0
CU00230,2023-11,13.0,183.0
CU00230,2023-12,19.0,375.0
CU00231,2023-01,7.0,100.0
CU00231,2023-02,7.0,272.0
CU00231,2023-03,7.0,122.0
CU00231,2023-05,2.0,43.0
CU00231,2023-06,2.0,54.0
CU00231,2023-07,4.0,115.0
CU00232,2023-01,11.0,360.0
CU00232,2023-02,8.0,157.0
CU00232,2023-03,8.0,116.0
CU00232,2023-04,7.0,189.0
CU00232,2023-05,7.0,173.0
CU00232,2023-06,4.0,69.0
CU00232,2023-07,5.0,33.0
CU00232,2023-08,3.0,70.0
CU00232,2023-10,3.0,50.0
CU00232,2023-11,3.0,97.0
CU00232,2023-12,2.0,68.0
CU00234,2023-01,23.0,546.0
CU00234,2023-02,20.0,208.0
CU00234,2023-03,17.0,517.0
CU00234,2023-04,14.0,513.0
CU00234,2023-05,,250.0
CU00234,2023-06,14.0,504.0
CU00234,2023-07,,218.0
CU00234,2023-08,14.0,333.0
CU00234,2023-09,18.0,437.0
CU00234,2023-10,19.0,459.0
CU00234,2023-11,9.0,153.0
CU00234,2023-12,16.0,514.0
CU00235,2023-05,12.0,308.0
CU00235,2023-06,13.0,515.0
CU00235,2023-08,18.0,357.0
CU00235,2023-09,14.0,361.0
CU00235,2023-10,12.0,325.0
CU00235,2023-11,19.0,430.0
CU00235,2023-12,18.0,710.0
CU00237,2023-07,,459.0
CU00237,2023-08,13.0,
CU00237,2023-09,20.0,547.0
CU00237,2023-10,18.0,590.0
CU00237,2023-11,23.0,727.0
CU00237,2023-12,9.0,238.0
CU00238,2023-01,13.0,308.0
CU00238,2023-02,20.0,244.0
CU00238,2023-03,17.0,654.0
CU00238,2023-04,18.0,274.0
CU00238,2023-06,,631.0
CU00238,2023-07,11.0,156.0
CU00238,2023-08,10.0,362.0
CU00238,2023-09,16.0,240.0
CU00238,2023-10,18.0,712.0
CU00238,2023-11,10.0,119.0
CU00238,2023-12,11.0,387.0
CU00239,2023-04,22.0,693.0
CU00239,2023-05,14.0,273.0
CU00239,2023-06,12.0,268.0
CU00239,2023-07,14.0,481.0
CU00239,2023-08,18.0,617.0
CU00239,2023-09,18.0,406.0
CU00239,2023-10,20.0,569.0
CU00239,2023-11,12.0,166.0
CU00239,2023-12,8.0,241.0
CU00240,2023-01,17.0,289.0
CU00240,2023-02,12.0,155.0
CU00240,2023-04,19.0,749.0
CU00240,2023-05,18.0,480.0
CU00240,2023-06,12.0,440.0
CU00240,2023-07,10.0,196.0
CU00240,2023-08,8.0,226.0
CU00240,2023-09,23.0,699.0
CU00240,2023-10,11.0,339.0
CU00240,2023-11,23.0,584.0
CU00240,2023-12,12.0,273.0
CU00242,2023-01,12.0,402.0
CU00242,2023-02,18.0,698.0
CU00242,2023-03,6.0,215.0
CU00242,2023-04,17.0,456.0
CU00242,2023-05,13.0,510.0
CU00242,2023-06,14.0,368.0
CU00242,2023-07,10.0,342.0
CU00242,2023-08,20.0,779.0
CU00242,2023-09,17.0,537.0
CU00242,2023-10,,780.0
CU00242,2023-11,12.0,472.0
CU00242,2023-12,13.0,230.0
CU00243,2023-01,12.0,257.0
CU00243,2023-02,8.0,233.0
CU00243,2023-03,5.0,130.0
CU00243,2023-04,7.0,259.0
CU00243,2023-05,8.0,101.0
CU00243,2023-06,7.0,90.0
CU00243,2023-07,1.0,30.0
CU00243,2023-08,5.0,168.0
CU00243,2023-09,9.0,365.0
CU00243,2023-11,4.0,35.0
CU00243,2023-12,2.0,37.0
CU00246,2023-11,3.0,84.0
CU00246,2023-12,4.0,75.0
CU00247,2023-01,16.0,529.0
CU00247,2023-02,15.0,327.0
CU00247,2023-03,17.0,407.0
CU00247,2023-04,12.0,176.0
CU00247,2023-05,15.0,160.0
CU00247,2023-06,18.0,265.0
CU00247,2023-07,16.0,425.0
CU00247,2023-08,17.0,635.0
CU00247,2023-09,12.0,134.0
CU00247,2023-10,15.0,238.0
CU00247,2023-11,,532.0
CU00247,2023-12,,232.0
CU00248,2023-02,7.0,160.0
CU00248,2023-03,5.0,105.0
CU00248,2023-04,3.0,124.0
CU00248,2023-05,5.0,98.0
CU00248,2023-06,3.0,82.0
CU00248,2023-08,,55.0
CU00248,2023-09,7.0,177.0
CU00248,2023-10,4.0,
CU00248,2023-11,2.0,74.0
CU00248,2023-12,3.0,34.0
CU00249,2023-04,16.0,374.0
CU00249,2023-05,12.0,297.0
CU00249,2023-06,25.0,251.0
CU00249,2023-07,8.0,114.0
CU00249,2023-08,13.0,462.0
CU00249,2023-09,13.0,386.0
CU00249,2023-10,22.0,318.0
CU00249,2023-11,16.0,461.0
CU00250,2023-01,17.0,
CU00250,2023-02,,212.0
CU00250,2023-03,6.0,157.0
CU00250,2023-04,20.0,465.0
CU00250,2023-05,16.0,423.0
CU00250,2023-06,15.0,509.0
CU00250,2023-07,17.0,383.0
CU00250,2023-08,21.0,624.0
CU00250,2023-09,20.0,240.0
CU00250,2023-10,18.0,315.0
CU00250,2023-11,11.0,205.0
CU00250,2023-12,11.0,381.0
CU00251,2023-01,2.0,75.0
CU00251,2023-02,4.0,149.0
CU00251,2023-03,3.0,123.0
CU00251,2023-04,3.0,57.0
CU00251,2023-05,6.0,192.0
CU00251,2023-06,6.0,118.0
CU00251,2023-07,5.0,134.0
CU00251,2023-08,,63.0
CU00251,2023-09,5.0,201.0
CU00251,2023-10,5.0,164.0
CU00251,2023-11,2.0,68.0
CU00251,2023-12,3.0,85.0
CU00253,2023-08,15.0,454.0
CU00253,2023-09,22.0,535.0
CU00253,2023-10,8.0,100.0
CU00253,2023-11,16.0,362.0
CU00253,2023-12,15.0,456.0
CU00254,2023-01,18.0,521.0
CU00254,2023-02,14.0,419.0
CU00254,2023-03,18.0,347.0
CU00254,2023-04,18.0,185.0
CU00254,2023-05,12.0,354.0
CU00254,2023-06,14.0,381.0
CU00254,2023-07,13.0,236.0
CU00254,2023-08,13.0,279.0
CU00254,2023-09,10.0,101.0
CU00254,2023-10,15.0,441.0
CU00254,2023-11,18.0,615.0
CU00254,2023-12,23.0,732.0
CU00255,2023-01,4.0,52.0
CU00255,2023-02,3.0,51.0
CU00255,2023-04,4.0,54.0
CU00255,2023-05,4.0,64.0
CU00256,2023-01,5.0,151.0
CU00256,2023-02,3.0,78.0
CU00256,2023-03,4.0,118.0
CU00256,2023-04,2.0,66.0
CU00256,2023-05,2.0,74.0
CU00257,2023-01,20.0,331.0
CU00257,2023-02,10.0,226.0
CU00257,2023-03,17.0,470.0
CU00257,2023-04,17.0,248.0
CU00257,2023-05,13.0,333.0
CU00257,2023-06,15.0,555.0
CU00257,2023-07,19.0,669.0
CU00257,2023-08,18.0,332.0
CU00257,2023-09,16.0,281.0
CU00257,2023-10,20.0,422.0
CU00257,2023-11,22.0,564.0
CU00257,2023-12,14.0,437.0
CU00258,2023-01,16.0,311.0
CU00258,2023-02,14.0,427.0
CU00258,2023-03,13.0,391.0
CU00258,2023-04,8.0,134.0
CU00258,2023-05,12.0,420.0
CU00258,2023-06,12.0,290.0
CU00258,2023-07,13.0,383.0
CU00258,2023-08,15.0,585.0
CU00258,2023-09,16.0,515.0
CU00258,2023-10,14.0,269.0
CU00258,2023-11,14.0,564.0
CU00258,2023-12,17.0,681.0
CU00259,2023-01,4.0,133.0
CU00259,2023-02,4.0,46.0
CU00259,2023-03,7.0,151.0
CU00259,2023-04,3.0,51.0
CU00259,2023-06,5.0,122.0
CU00259,2023-07,3.0,103.0
CU00259,2023-08,3.0,88.0
CU00259,2023-09,2.0,47.0
CU00260,2023-01,14.0,129.0
CU00260,2023-02,16.0,440.0
CU00260,2023-03,14.0,218.0
CU00260,2023-04,16.0,266.0
CU00260,2023-05,14.0,346.0
CU00260,2023-06,19.0,741.0
CU00260,2023-07,20.0,293.0
CU00260,2023-08,17.0,542.0
CU00260,2023-09,15.0,406.0
CU00260,2023-10,18.0,509.0
CU00260,2023-11,9.0,212.0
CU00260,2023-12,14.0,511.0
CU00261,2023-01,14.0,339.0
CU00261,2023-02,17.0,387.0
CU00261,2023-03,18.0,280.0
CU00261,2023-04,19.0,647.0
CU00261,2023-05,20.0,235.0
CU00261,2023-06,14.0,286.0
CU00261,2023-07,16.0,534.0
CU00261,2023-08,17.0,392.0
CU00261,2023-09,12.0,385.0
CU00261,2023-11,15.0,241.0
CU00261,2023-12,21.0,747.0
CU00262,2023-08,7.0,94.0
CU00262,2023-09,6.0,111.0
CU00262,2023-10,9.0,309.0
CU00262,2023-11,3.0,88.0
CU00262,2023-12,2.0,68.0
CU00263,2023-01,3.0,121.0
CU00263,2023-02,4.0,71.0
CU00263,2023-03,6.0,78.0
CU00263,2023-04,4.0,87.0
CU00263,2023-05,4.0,82.0
CU00263,2023-06,2.0,35.0
CU00263,2023-07,1.0,46.0
CU00263,2023-08,3.0,74.0
CU00263,2023-10,2.0,61.0
CU00263,2023-11,1.0,
CU00265,2023-01,16.0,261.0
CU00265,2023-02,19.0,374.0
CU00265,2023-03,20.0,291.0
CU00265,2023-04,16.0,192.0
CU00265,2023-05,14.0,457.0
CU00265,2023-06,15.0,531.0
CU00265,2023-07,20.0,715.0
CU00265,2023-08,13.0,323.0
CU00265,2023-09,19.0,666.0
CU00265,2023-10,15.0,225.0
CU00265,2023-11,16.0,404.0
CU00265,2023-12,18.0,
CU00266,2023-01,8.0,118.0
CU00266,2023-02,15.0,253.0
CU00266,2023-03,14.0,411.0
CU00266,2023-04,19.0,560.0
CU00266,2023-05,15.0,560.0
CU00266,2023-06,9.0,155.0
CU00266,2023-07,17.0,612.0
CU00266,2023-08,11.0,220.0
CU00266,2023-09,12.0,232.0
CU00266,2023-10,14.0,460.0
CU00266,2023-11,13.0,465.0
CU00266,2023-12,13.0,482.0
CU00267,2023-07,2.0,82.0
CU00267,2023-08,3.0,57.0
CU00267,2023-09,4.0,72.0
CU00267,2023-10,6.0,136.0
CU00267,2023-11,2.0,21.0
CU00267,2023-12,7.0,235.0
CU00268,2023-10,15.0,492.0
CU00268,2023-11,17.0,259.0
CU00268,2023-12,,195.0
CU00270,2023-01,12.0,219.0
CU00270,2023-02,14.0,407.0
CU00270,2023-03,11.0,221.0
CU00270,2023-04,16.0,218.0
CU00270,2023-05,19.0,345.0
CU00270,2023-06,17.0,490.0
CU00270,2023-07,15.0,348.0
CU00270,2023-08,17.0,472.0
CU00270,2023-09,11.0,271.0
CU00270,2023-10,16.0,434.0
CU00270,2023-11,18.0,539.0
CU00271,2023-01,12.0,469.0
CU00271,2023-03,15.0,408.0
CU00271,2023-04,15.0,424.0
CU00271,2023-05,11.0,436.0
CU00271,2023-06,15.0,165.0
CU00271,2023-07,17.0,633.0
CU00271,2023-08,13.0,387.0
CU00271,2023-09,18.0,696.0
CU00271,2023-10,21.0,406.0
CU00271,2023-11,13.0,211.0
CU00272,2023-01,4.0,94.0
CU00272,2023-02,9.0,98.0
CU00272,2023-03,6.0,196.0
CU00272,2023-04,1.0,17.0
CU00272,2023-06,4.0,69.0
CU00272,2023-07,8.0,275.0
CU00272,2023-08,4.0,116.0
CU00272,2023-09,,82.0
CU00272,2023-10,6.0,174.0
CU00272,2023-11,5.0,119.0
CU00272,2023-12,2.0,36.0
CU00273,2023-01,18.0,256.0
CU00273,2023-02,18.0,646.0
CU00273,2023-03,12.0,437.0
CU00273,2023-04,16.0,224.0
CU00273,2023-05,25.0,532.0
CU00273,2023-06,12.0,141.0
CU00273,2023-07,18.0,202.0
CU00273,2023-08,12.0,460.0
CU00273,2023-09,10.0,150.0
CU00273,2023-10,14.0,558.0
CU00273,2023-11,17.0,543.0
CU00273,2023-12,19.0,337.0
CU00274,2023-01,17.0,218.0
CU00274,2023-02,15.0,205.0
CU00274,2023-03,21.0,379.0
CU00274,2023-04,19.0,323.0
CU00274,2023-05,17.0,481.0
CU00274,2023-06,10.0,138.0
CU00274,2023-07,21.0,344.0
CU00274,2023-08,15.0,412.0
CU00274,2023-09,14.0,259.0
CU00274,2023-10,23.0,770.0
CU00274,2023-11,13.0,378.0
CU00274,2023-12,16.0,263.0
CU00275,2023-01,4.0,60.0
CU00275,2023-02,5.0,155.0
CU00275,2023-03,7.0,293.0
CU00275,2023-04,2.0,9.0
CU00275,2023-05,2.0,85.0
CU00275,2023-06,7.0,193.0
CU00275,2023-07,2.0,70.0
CU00275,2023-08,2.0,63.0
CU00275,2023-09,2.0,49.0
CU00276,2023-01,13.0,392.0
CU00276,2023-02,16.0,328.0
CU00276,2023-04,18.0,679.0
CU00276,2023-05,17.0,611.0
CU00276,2023-06,20.0,218.0
CU00276,2023-07,12.0,216.0
CU00276,2023-08,13.0,385.0
CU00276,2023-09,16.0,553.0
CU00276,2023-11,15.0,548.0
CU00276,2023-12,12.0,399.0
CU00277,2023-05,4.0,
CU00277,2023-06,2.0,20.0
CU00277,2023-08,2.0,82.0
CU00277,2023-09,3.0,75.0
CU00277,2023-10,3.0,69.0
CU00278,2023-01,15.0,315.0
CU00278,2023-02,21.0,594.0
CU00278,2023-03,16.0,479.0
CU00278,2023-04,12.0,418.0
CU00278,2023-05,24.0,253.0
CU00278,2023-06,12.0,366.0
CU00278,2023-07,20.0,586.0
CU00278,2023-08,13.0,456.0
CU00278,2023-09,12.0,407.0
CU00278,2023-10,12.0,112.0
CU00278,2023-12,18.0,399.0
CU00279,2023-02,23.0,333.0
CU00279,2023-03,18.0,565.0
CU00279,2023-04,,
CU00279,2023-05,22.0,683.0
CU00279,2023-06,12.0,355.0
CU00279,2023-07,15.0,546.0
CU00279,2023-08,8.0,101.0
CU00279,2023-09,17.0,354.0
CU00279,2023-10,11.0,196.0
CU00279,2023-11,16.0,420.0
CU00279,2023-12,12.0,459.0
CU00280,2023-01,14.0,344.0
CU00280,2023-02,11.0,174.0
CU00280,2023-03,20.0,552.0
CU00280,2023-04,21.0,416.0
CU00280,2023-05,16.0,423.0
CU00280,2023-06,19.0,569.0
CU00280,2023-07,14.0,239.0
CU00280,2023-08,13.0,302.0
CU00280,2023-09,21.0,327.0
CU00280,2023-10,7.0,87.0
CU00280,2023-11,11.0,250.0
CU00280,2023-12,16.0,565.0
CU00281,2023-04,19.0,597.0
CU00281,2023-05,13.0,439.0
CU00281,2023-06,,251.0
CU00281,2023-07,14.0,220.0
CU00281,2023-08,16.0,355.0
CU00281,2023-09,17.0,501.0
CU00281,2023-10,11.0,360.0
CU00281,2023-11,14.0,367.0
CU00281,2023-12,13.0,167.0
CU00282,2023-01,14.0,450.0
CU00282,2023-02,22.0,660.0
CU00282,2023-03,12.0,142.0
CU00282,2023-04,7.0,119.0
CU00282,2023-06,11.0,426.0
CU00282,2023-07,14.0,215.0
CU00282,2023-08,7.0,139.0
CU00282,2023-09,17.0,213.0
CU00282,2023-10,15.0,455.0
CU00282,2023-11,17.0,442.0
CU00282,2023-12,21.0,295.0
CU00283,2023-05,13.0,397.0
CU00283,2023-06,18.0,604.0
CU00283,2023-07,12.0,438.0
CU00283,2023-08,13.0,341.0
CU00283,2023-09,18.0,399.0
CU00283,2023-10,13.0,270.0
CU00283,2023-11,14.0,528.0
CU00283,2023-12,16.0,630.0
CU00285,2023-02,5.0,78.0
CU00285,2023-03,3.0,70.0
CU00285,2023-04,4.0,134.0
CU00285,2023-05,2.0,18.0
CU00285,2023-06,2.0,60.0
CU00286,2023-01,6.0,172.0
CU00286,2023-02,6.0,165.0
CU00286,2023-03,11.0,380.0
CU00286,2023-04,6.0,174.0
CU00286,2023-05,10.0,245.0
CU00286,2023-06,6.0,137.0
CU00286,2023-07,4.0,168.0
CU00286,2023-08,5.0,142.0
CU00286,2023-09,3.0,72.0
CU00286,2023-10,4.0,44.0
CU00286,2023-11,3.0,83.0
CU00286,2023-12,3.0,125.0
CU00287,2023-01,13.0,487.0
CU00287,2023-02,20.0,710.0
CU00287,2023-03,13.0,446.0
CU00287,2023-04,,539.0
CU00287,2023-05,4.0,122.0
CU00287,2023-06,11.0,207.0
CU00287,2023-07,13.0,264.0
CU00287,2023-08,17.0,604.0
CU00287,2023-09,21.0,641.0
CU00287,2023-10,12.0,472.0
CU00287,2023-11,14.0,545.0
CU00287,2023-12,15.0,526.0
CU00289,2023-01,11.0,236.0
CU00289,2023-02,13.0,427.0
CU00289,2023-03,16.0,249.0
CU00289,2023-04,10.0,233.0
CU00289,2023-05,13.0,263.0
CU00289,2023-06,13.0,238.0
CU00289,2023-07,19.0,258.0
CU00289,2023-08,23.0,687.0
CU00289,2023-09,14.0,228.0
CU00289,2023-10,13.0,166.0
CU00289,2023-11,19.0,479.0
CU00289,2023-12,12.0,160.0
CU00290,2023-03,3.0,57.0
CU00290,2023-04,6.0,60.0
CU00290,2023-05,1.0,11.0
CU00290,2023-06,4.0,103.0
CU00290,2023-07,1.0,40.0
CU00290,2023-08,4.0,153.0
CU00291,2023-07,22.0,470.0
CU00291,2023-08,11.0,166.0
CU00291,2023-09,13.0,223.0
CU00291,2023-10,15.0,475.0
CU00291,2023-11,12.0,344.0
CU00291,2023-12,14.0,205.0
CU00292,2023-01,12.0,269.0
CU00292,2023-02,8.0,277.0
CU00292,2023-03,15.0,369.0
CU00292,2023-04,14.0,149.0
CU00292,2023-05,16.0,378.0
CU00292,2023-06,17.0,511.0
CU00292,2023-07,19.0,697.0
CU00292,2023-08,14.0,281.0
CU00292,2023-09,12.0,437.0
CU00292,2023-10,19.0,572.0
CU00292,2023-11,13.0,437.0
CU00293,2023-01,15.0,257.0
CU00293,2023-02,14.0,369.0
CU00293,2023-04,19.0,435.0
CU00293,2023-05,10.0,324.0
CU00293,2023-06,12.0,379.0
CU00293,2023-07,19.0,
CU00293,2023-08,23.0,566.0
CU00293,2023-09,15.0,282.0
CU00293,2023-10,18.0,374.0
CU00293,2023-11,9.0,184.0
CU00293,2023-12,20.0,358.0
CU00295,2023-01,8.0,248.0
CU00295,2023-03,15.0,493.0
CU00295,2023-04,18.0,639.0
CU00295,2023-05,19.0,681.0
CU00295,2023-06,15.0,331.0
CU00295,2023-07,13.0,337.0
CU00295,2023-09,14.0,555.0
CU00295,2023-10,12.0,251.0
CU00295,2023-11,16.0,469.0
CU00295,2023-12,16.0,394.0
CU00296,2023-04,15.0,352.0
CU00296,2023-05,15.0,464.0
CU00296,2023-06,13.0,461.0
CU00296,2023-07,21.0,647.0
CU00296,2023-08,12.0,248.0
CU00296,2023-09,,644.0
CU00296,2023-10,9.0,127.0
CU00296,2023-11,16.0,191.0
CU00296,2023-12,14.0,313.0
CU00297,2023-01,11.0,331.0
CU00297,2023-02,12.0,357.0
CU00297,2023-03,11.0,258.0
CU00297,2023-04,15.0,595.0
CU00297,2023-05,13.0,325.0
CU00297,2023-06,18.0,280.0
CU00297,2023-07,16.0,267.0
CU00297,2023-08,16.0,377.0
CU00297,2023-09,15.0,464.0
CU00297,2023-10,22.0,253.0
CU00297,2023-11,13.0,144.0
CU00297,2023-12,4.0,152.0
CU00298,2023-01,5.0,155.0
CU00298,2023-02,2.0,23.0
CU00298,2023-03,7.0,131.0
CU00298,2023-04,3.0,88.0
CU00298,2023-05,3.0,52.0
CU00298,2023-06,3.0,75.0
CU00299,2023-01,14.0,272.0
CU00299,2023-02,18.0,224.0
CU00299,2023-03,13.0,254.0
CU00299,2023-04,15.0,558.0
CU00299,2023-05,13.0,398.0
CU00299,2023-06,17.0,388.0
CU00299,2023-07,9.0,271.0
CU00299,2023-08,16.0,359.0
CU00299,2023-09,,127.0
CU00299,2023-10,11.0,107.0
CU00299,2023-11,14.0,456.0
CU00299,2023-12,11.0,235.0
CU00301,2023-01,8.0,215.0
CU00301,2023-02,11.0,388.0
CU00301,2023-03,13.0,293.0
CU00301,2023-04,4.0,136.0
CU00301,2023-05,3.0,45.0
CU00301,2023-06,4.0,57.0
CU00301,2023-07,9.0,352.0
CU00301,2023-08,1.0,16.0
CU00301,2023-09,4.0,63.0
CU00301,2023-10,8.0,128.0
CU00301,2023-11,5.0,99.0
CU00301,2023-12,6.0,196.0
CU00302,2023-08,13.0,297.0
CU00302,2023-09,23.0,630.0
CU00302,2023-10,18.0,442.0
CU00302,2023-11,11.0,246.0
CU00302,2023-12,13.0,199.0
CU00303,2023-01,2.0,45.0
CU00303,2023-02,6.0,54.0
CU00303,2023-03,3.0,87.0
CU00304,2023-01,5.0,199.0
CU00304,2023-02,3.0,62.0
CU00304,2023-03,8.0,174.0
CU00304,2023-04,2.0,78.0
CU00304,2023-05,3.0,84.0
CU00304,2023-06,2.0,48.0
CU00304,2023-07,4.0,
CU00304,2023-08,5.0,66.0
CU00304,2023-09,6.0,229.0
CU00304,2023-10,3.0,39.0
CU00304,2023-11,4.0,137.0
CU00305,2023-02,13.0,199.0
CU00305,2023-03,3.0,44.0
CU00305,2023-04,2.0,54.0
CU00305,2023-05,3.0,45.0
CU00305,2023-06,7.0,134.0
CU00305,2023-07,7.0,252.0
CU00305,2023-08,5.0,114.0
CU00305,2023-09,4.0,119.0
CU00305,2023-10,5.0,82.0
CU00305,2023-11,4.0,126.0
CU00305,2023-12,4.0,42.0
CU00306,2023-01,15.0,191.0
CU00306,2023-02,19.0,558.0
CU00306,2023-03,17.0,313.0
CU00306,2023-04,15.0,465.0
CU00306,2023-05,14.0,363.0
CU00306,2023-06,16.0,282.0
CU00306,2023-07,11.0,239.0
CU00306,2023-08,14.0,340.0
CU00306,2023-10,20.0,560.0
CU00306,2023-12,17.0,555.0
CU00307,2023-01,14.0,499.0
CU00307,2023-02,22.0,525.0
CU00307,2023-03,12.0,215.0
CU00307,2023-04,16.0,539.0
CU00307,2023-05,8.0,82.0
CU00307,2023-06,11.0,395.0
CU00307,2023-07,15.0,
CU00307,2023-08,17.0,617.0
CU00307,2023-09,13.0,383.0
CU00307,2023-10,20.0,725.0
CU00307,2023-11,9.0,
CU00307,2023-12,18.0,588.0
CU00308,2023-01,17.0,286.0
CU00308,2023-03,16.0,246.0
CU00308,2023-04,14.0,361.0
CU00308,2023-05,,486.0
CU00308,2023-06,12.0,224.0
CU00308,2023-07,15.0,251.0
CU00308,2023-08,11.0,142.0
CU00308,2023-09,,726.0
CU00308,2023-10,17.0,323.0
CU00308,2023-11,23.0,457.0
CU00308,2023-12,14.0,332.0
CU00309,2023-01,20.0,219.0
CU00309,2023-02,19.0,380.0
CU00309,2023-03,11.0,142.0
CU00309,2023-04,12.0,237.0
CU00309,2023-05,18.0,246.0
CU00309,2023-06,10.0,214.0
CU00309,2023-07,14.0,222.0
CU00309,2023-08,14.0,145.0
CU00309,2023-09,11.0,161.0
CU00309,2023-10,12.0,141.0
CU00309,2023-11,19.0,516.0
CU00309,2023-12,18.0,629.0
CU00311,2023-01,16.0,256.0
CU00311,2023-02,16.0,490.0
CU00311,2023-03,18.0,308.0
CU00311,2023-04,16.0,420.0
CU00311,2023-05,10.0,308.0
CU00311,2023-06,13.0,336.0
CU00311,2023-07,19.0,706.0
CU00311,2023-08,12.0,142.0
CU00311,2023-09,19.0,292.0
CU00311,2023-10,9.0,325.0
CU00311,2023-11,20.0,617.0
CU00311,2023-12,21.0,357.0
CU00312,2023-01,2.0,38.0
CU00312,2023-02,4.0,63.0
CU00312,2023-03,4.0,36.0
CU00312,2023-04,6.0,199.0
CU00312,2023-05,4.0,115.0
CU00312,2023-06,3.0,108.0
CU00312,2023-07,5.0,124.0
CU00312,2023-08,3.0,39.0
CU00312,2023-09,2.0,72.0
CU00312,2023-10,2.0,82.0
CU00313,2023-05,12.0,405.0
CU00313,2023-06,19.0,505.0
CU00313,2023-07,14.0,540.0
CU00313,2023-08,,257.0
CU00313,2023-09,11.0,323.0
CU00313,2023-10,17.0,348.0
CU00313,2023-11,19.0,735.0
CU00313,2023-12,9.0,146.0
CU00314,2023-01,15.0,445.0
CU00314,2023-02,18.0,207.0
CU00314,2023-03,16.0,476.0
CU00314,2023-04,15.0,207.0
CU00314,2023-05,12.0,297.0
CU00314,2023-06,10.0,334.0
CU00314,2023-08,19.0,208.0
CU00314,2023-09,12.0,252.0
CU00314,2023-10,12.0,349.0
CU00314,2023-11,12.0,262.0
CU00314,2023-12,17.0,586.0
CU00317,2023-08,18.0,471.0
CU00317,2023-09,14.0,527.0
CU00317,2023-10,16.0,475.0
CU00317,2023-11,6.0,208.0
CU00317,2023-12,9.0,149.0
CU00318,2023-01,2.0,53.0
CU00318,2023-02,3.0,60.0
CU00318,2023-03,3.0,94.0
CU00318,2023-04,2.0,37.0
CU00318,2023-05,2.0,28.0
CU00319,2023-01,5.0,52.0
CU00319,2023-02,5.0,192.0
CU00319,2023-03,2.0,13.0
CU00319,2023-04,3.0,56.0
CU00320,2023-01,,751.0
CU00320,2023-02,18.0,597.0
CU00320,2023-03,14.0,336.0
CU00320,2023-04,17.0,301.0
CU00320,2023-06,18.0,386.0
CU00320,2023-07,16.0,389.0
CU00320,2023-08,14.0,468.0
CU00320,2023-09,7.0,186.0
CU00320,2023-10,13.0,261.0
CU00320,2023-11,17.0,649.0
CU00320,2023-12,13.0,467.0
CU00322,2023-01,5.0,72.0
